candidate_id,feature,coefficient
logistic_l2_0.0001,(intercept),1.1893238960149433
logistic_l2_0.0001,conflict:account_reference_conflict,-1.5470942921143205
logistic_l2_0.0001,conflict:date_of_birth_conflict,-1.505319425802698
logistic_l2_0.0001,conflict:email_conflict,-0.10068506488082699
logistic_l2_0.0001,conflict:name_conflict,-0.5032433089738415
logistic_l2_0.0001,conflict:phone_conflict,-2.3064680948958367
logistic_l2_0.0001,conflict:shared_email_payment_household_risk,-0.819490506433723
logistic_l2_0.0001,conflict:verified_email_conflict,-0.35536336934449037
logistic_l2_0.0001,evidence:email_skeleton,0.6542784593289164
logistic_l2_0.0001,evidence:exact_account_reference,0.6006747653463063
logistic_l2_0.0001,evidence:exact_device_id,0.3325302436677272
logistic_l2_0.0001,evidence:exact_email,0.14676040613542987
logistic_l2_0.0001,evidence:exact_payment_token,-0.528022041776016
logistic_l2_0.0001,evidence:exact_phone,0.9484346088448474
logistic_l2_0.0001,evidence:exact_provider_id,0.5832485118348254
logistic_l2_0.0001,evidence:exact_verified_email,1.118950257533506
logistic_l2_0.0001,evidence:name_city,0.5215810915408351
logistic_l2_0.0001,evidence:name_date_of_birth,0.25805529006806965
logistic_l2_0.0001,evidence:phone_suffix_9,2.0245257105521604
logistic_l2_0.0001,evidence:same_source_record_id,1.3440313225522236
logistic_l2_0.0001,conflict:account_reference_conflict & conflict:date_of_birth_conflict,-0.36156272026121866
logistic_l2_0.0001,conflict:account_reference_conflict & conflict:email_conflict,-0.8992185612853258
logistic_l2_0.0001,conflict:account_reference_conflict & conflict:name_conflict,-0.4570329957838838
logistic_l2_0.0001,conflict:account_reference_conflict & conflict:phone_conflict,-0.8273283571926446
logistic_l2_0.0001,conflict:account_reference_conflict & conflict:shared_email_payment_household_risk,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & conflict:verified_email_conflict,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:email_skeleton,0.20637790599409236
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_account_reference,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_device_id,-0.2615889366211076
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_email,0.4847722350186436
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_payment_token,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_phone,0.3578598743880128
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_provider_id,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:exact_verified_email,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:name_city,-1.334932897536493
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:name_date_of_birth,-0.009593574488871125
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:phone_suffix_9,0.0
logistic_l2_0.0001,conflict:account_reference_conflict & evidence:same_source_record_id,0.0
logistic_l2_0.0001,conflict:date_of_birth_conflict & conflict:email_conflict,-1.3284644064610318
logistic_l2_0.0001,conflict:date_of_birth_conflict & conflict:name_conflict,-0.26523352841105835
logistic_l2_0.0001,conflict:date_of_birth_conflict & conflict:phone_conflict,-0.5712284960377346
